name,at,user_class,subcription_during_event,custom_answer_was,custom_question_marked_as
Skipped Practice Question,2022-12-10T17:27:56,fnp_testprep,3  (1226),,
Skipped Practice Question,2022-12-10T17:27:54,fnp_testprep,3  (1226),,
Skipped Practice Question,2022-12-10T17:27:52,fnp_testprep,3  (1226),,
Tapped Previous Practice Question,2022-12-10T17:27:48,fnp_testprep,3  (1226),,
Tapped Previous Practice Question,2022-12-10T17:27:44,fnp_testprep,3  (1226),,
Tapped Previous Practice Question,2022-12-10T17:27:43,fnp_testprep,3  (1226),,
Tagged Practice Question,2022-12-10T17:27:36,fnp_testprep,3  (1226),correct,
Answered Practice Question,2022-12-10T17:27:32,fnp_testprep,3  (1226),correct,
Tapped Previous Practice Question,2022-12-10T17:27:19,fnp_testprep,3  (1226),,
Tapped Previous Practice Question,2022-12-10T17:27:17,fnp_testprep,3  (1226),,
Tagged Practice Question,2022-12-10T17:27:15,fnp_testprep,3  (1226),incorrect,
Answered Practice Question,2022-12-10T17:26:15,fnp_testprep,3  (1226),incorrect,
Viewed Sponsored,2022-12-10T17:25:46,fnp_testprep,3  (1226),,
Tagged Practice Question,2022-12-10T17:25:46,fnp_testprep,3  (1226),incorrect,
Answered Practice Question,2022-12-10T17:24:42,fnp_testprep,3  (1226),incorrect,
Tagged Practice Question,2022-12-10T17:23:35,fnp_testprep,3  (1226),correct,
Answered Practice Question,2022-12-10T17:22:39,fnp_testprep,3  (1226),correct,
Tagged Practice Question,2022-12-10T17:22:00,fnp_testprep,3  (1226),incorrect,
Answered Practice Question,2022-12-10T17:18:50,fnp_testprep,3  (1226),incorrect,
Tagged Practice Question,2022-12-10T17:18:29,fnp_testprep,3  (1226),correct,
Viewed Streak Animation,2022-12-10T17:18:29,fnp_testprep,3  (1226),,
Answered Practice Question,2022-12-10T17:16:05,fnp_testprep,3  (1226),correct,
Awarded Content Credits,2022-12-10T17:15:29,fnp_testprep,3  (1226),,
Performed Background Fetch,2022-12-10T08:59:42,fnp_testprep,3  (1226),,
Tagged Practice Question,2022-12-10T04:10:37,fnp_testprep,3  (1226),incorrect,
Answered Practice Question,2022-12-10T04:09:39,fnp_testprep,3  (1226),incorrect,
Tagged Practice Question,2022-12-10T04:08:19,fnp_testprep,3  (1226),incorrect,
Answered Practice Question,2022-12-10T01:35:20,fnp_testprep,3  (1226),incorrect,
Tagged Practice Question,2022-12-10T01:34:45,fnp_testprep,3  (1226),correct,
Answered Practice Question,2022-12-10T01:33:14,fnp_testprep,3  (1226),correct,
Tagged Practice Question,2022-12-10T01:32:23,fnp_testprep,3  (1226),correct,
Answered Practice Question,2022-12-10T01:30:59,fnp_testprep,3  (1226),correct,
Tagged Practice Question,2022-12-10T01:30:26,fnp_testprep,3  (1226),correct,
Answered Practice Question,2022-12-09T17:30:19,fnp_testprep,3  (1226),correct,
Tagged Practice Question,2022-12-09T16:40:56,fnp_testprep,3  (1226),incorrect,
Hide/Show Comments,2022-12-09T16:33:35,fnp_testprep,3  (1226),,
Answered Practice Question,2022-12-09T16:33:07,fnp_testprep,3  (1226),incorrect,
Tagged Practice Question,2022-12-09T16:32:27,fnp_testprep,3  (1226),correct,
Answered Practice Question,2022-12-09T16:27:48,fnp_testprep,3  (1226),correct,
Tagged Practice Question,2022-12-09T16:27:32,fnp_testprep,3  (1226),incorrect,
Answered Practice Question,2022-12-09T16:14:40,fnp_testprep,3  (1226),incorrect,
Tagged Practice Question,2022-12-09T16:14:04,fnp_testprep,3  (1226),correct,
Answered Practice Question,2022-12-09T16:12:19,fnp_testprep,3  (1226),correct,
Viewed Streak Animation,2022-12-09T16:11:43,fnp_testprep,3  (1226),,
Tagged Practice Question,2022-12-09T16:11:42,fnp_testprep,3  (1226),incorrect,
